feature_set,scenario,training_seed,classifier,metric,n_simulation_seeds,mean,sd,ci95_low,ci95_high
4,DNSAmplification,130363,xgboost,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,130363,xgboost,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,130363,xgboost,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,130363,xgboost,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,130363,xgboost,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,130363,xgboost,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,130363,xgboost,pr_auc_ddos,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,hybrid,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,hybrid,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,hybrid,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,hybrid,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,hybrid,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,hybrid,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,hybrid,roc_auc,10,1.0,3.700743415417188e-17,1.0,1.0
4,DNSAmplification,155921,hybrid,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,hybrid,pr_auc_ddos,10,1.0,8.275113844157577e-17,0.9999999999999999,1.0
4,DNSAmplification,155921,mlp,accuracy,10,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334
4,DNSAmplification,155921,mlp,precision,0,not estimable,not estimable,not estimable,not estimable
4,DNSAmplification,155921,mlp,recall,10,0.0,0.0,0.0,0.0
4,DNSAmplification,155921,mlp,f1,10,0.0,0.0,0.0,0.0
4,DNSAmplification,155921,mlp,balanced_accuracy,10,0.5,0.0,0.5,0.5
4,DNSAmplification,155921,mlp,mcc,0,not estimable,not estimable,not estimable,not estimable
4,DNSAmplification,155921,mlp,roc_auc,10,0.0,0.0,0.0,0.0
4,DNSAmplification,155921,mlp,pr_auc_benign,10,0.689132683700425,0.004972931596348122,0.6855752627399697,0.6926901046608803
4,DNSAmplification,155921,mlp,pr_auc_ddos,10,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.1666666666666667
4,DNSAmplification,155921,rf,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,rf,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,rf,recall,10,1.0,0.0,1.0,1.0
