feature_set,run,scenario,training_seed,classifier_left,classifier_right,matched_flows,agreement_percentage,cohen_kappa,agreement_with_ensemble
4,seed104729,Normal,155921,mlp,rf,50,100.0,not estimable,not applicable
4,seed104729,Normal,155921,mlp,xgboost,50,100.0,not estimable,not applicable
4,seed104729,Normal,155921,rf,xgboost,50,100.0,not estimable,not applicable
4,seed104729,Normal,181081,hybrid,mlp,50,100.0,not estimable,100.0
4,seed104729,Normal,181081,hybrid,rf,50,100.0,not estimable,100.0
4,seed104729,Normal,181081,hybrid,xgboost,50,100.0,not estimable,100.0
4,seed104729,Normal,181081,mlp,rf,50,100.0,not estimable,not applicable
4,seed104729,Normal,181081,mlp,xgboost,50,100.0,not estimable,not applicable
4,seed104729,Normal,181081,rf,xgboost,50,100.0,not estimable,not applicable
4,seed104729,Normal,206369,hybrid,mlp,50,100.0,not estimable,100.0
4,seed104729,Normal,206369,hybrid,rf,50,100.0,not estimable,100.0
4,seed104729,Normal,206369,hybrid,xgboost,50,100.0,not estimable,100.0
4,seed104729,Normal,206369,mlp,rf,50,100.0,not estimable,not applicable
4,seed104729,Normal,206369,mlp,xgboost,50,100.0,not estimable,not applicable
4,seed104729,Normal,206369,rf,xgboost,50,100.0,not estimable,not applicable
4,seed104729,Normal,231701,hybrid,mlp,50,100.0,not estimable,100.0
4,seed104729,Normal,231701,hybrid,rf,50,100.0,not estimable,100.0
4,seed104729,Normal,231701,hybrid,xgboost,50,100.0,not estimable,100.0
4,seed104729,Normal,231701,mlp,rf,50,100.0,not estimable,not applicable
4,seed104729,Normal,231701,mlp,xgboost,50,100.0,not estimable,not applicable
4,seed104729,Normal,231701,rf,xgboost,50,100.0,not estimable,not applicable
4,seed104729,Normal,257053,hybrid,mlp,50,100.0,not estimable,100.0
4,seed104729,Normal,257053,hybrid,rf,50,100.0,not estimable,100.0
4,seed104729,Normal,257053,hybrid,xgboost,50,100.0,not estimable,100.0
4,seed104729,Normal,257053,mlp,rf,50,100.0,not estimable,not applicable
4,seed104729,Normal,257053,mlp,xgboost,50,100.0,not estimable,not applicable
