feature_set,model,n_seeds,fpr,mean_tpr,sd_tpr
8,xgboost,10,0.0,0.0,0.0
8,xgboost,10,0.001,0.9626176314948314,0.0008897239321169575
8,xgboost,10,0.002,0.9884352315262648,0.003466490412808551
8,xgboost,10,0.003,0.989831294681385,0.0042652669094410366
8,xgboost,10,0.004,0.989831294681385,0.0042652669094410366
8,xgboost,10,0.005,0.989831294681385,0.0042652669094410366
8,xgboost,10,0.006,0.989831294681385,0.0042652669094410366
8,xgboost,10,0.007,0.989831294681385,0.0042652669094410366
8,xgboost,10,0.008,0.9900661878280319,0.0046810771257398695
8,xgboost,10,0.009000000000000001,0.9900661878280319,0.0046810771257398695
8,xgboost,10,0.01,0.993006545537823,0.0030646766901701473
8,xgboost,10,0.011,0.993025028817142,0.0030900768372587577
8,xgboost,10,0.012,0.993025804425906,0.0030913812093314496
8,xgboost,10,0.013000000000000001,0.9930269606167366,0.0030932062272843756
8,xgboost,10,0.014,0.9930281168075673,0.00309503129062107
8,xgboost,10,0.015,0.993029272998398,0.0030968563992612628
8,xgboost,10,0.016,0.9930304291892288,0.0030986815531249047
8,xgboost,10,0.017,0.9930315853800595,0.0031005067521321316
8,xgboost,10,0.018000000000000002,0.9930327415708902,0.0031023319962032647
8,xgboost,10,0.019,0.9930338977617209,0.003104157285258811
8,xgboost,10,0.02,0.9930350539525516,0.003105982619219442
8,xgboost,10,0.021,0.9936152010449538,0.0027142580260560386
8,xgboost,10,0.022,0.9937770304888783,0.0026067437231483874
8,xgboost,10,0.023,0.9948899382002676,0.0020121688533674626
8,xgboost,10,0.024,0.995480479916484,0.002638096744545494
8,xgboost,10,0.025,0.9955494179868543,0.0026014437200089376
8,xgboost,10,0.026000000000000002,0.9957189202636793,0.002577660483735849
8,xgboost,10,0.027,0.9957189202636793,0.002577660483735849
8,xgboost,10,0.028,0.9957189202636793,0.002577660483735849
8,xgboost,10,0.029,0.9957189202636793,0.002577660483735849
8,xgboost,10,0.03,0.9957189202636793,0.002577660483735849
8,xgboost,10,0.031,0.9957189202636793,0.002577660483735849
8,xgboost,10,0.032,0.9957189202636793,0.002577660483735849
8,xgboost,10,0.033,0.9957189202636793,0.002577660483735849
8,xgboost,10,0.034,0.9957189202636793,0.002577660483735849
8,xgboost,10,0.035,0.9957189202636793,0.002577660483735849
8,xgboost,10,0.036000000000000004,0.9957189202636793,0.002577660483735849
8,xgboost,10,0.037,0.9958246302432213,0.0025263776264896473
8,xgboost,10,0.038,0.9958980205366329,0.0024963116958092195
8,xgboost,10,0.039,0.9958980205366329,0.0024963116958092195
8,xgboost,10,0.04,0.9959026262846062,0.0025039961598076065
8,xgboost,10,0.041,0.9959669586070031,0.002459615689500516
8,xgboost,10,0.042,0.9960403489004144,0.0024295419328269393
8,xgboost,10,0.043000000000000003,0.9960403489004144,0.0024295419328269393
8,xgboost,10,0.044,0.9967480044467795,0.0019413317206353163
8,xgboost,10,0.045,0.9970053337363669,0.0017638170019449579
