feature_set,model,n_seeds,auc_mean,auc_sample_sd,auc_ci95_low,auc_ci95_high
8,xgboost,10,0.9993405052228891,0.00017390505522675153,0.9992161010406464,0.9994649094051318
8,rf,10,0.9993128662217664,0.00024028906791541543,0.9991409737775996,0.9994847586659332
8,mlp,10,0.9973913073669692,0.001960771680557022,0.9959886558042164,0.9987939589297221
8,hybrid,10,0.9991169615417972,0.0004855006805831571,0.99876965527708,0.9994642678065144
