comparison_type,stratum,metric,left,right,matched_seeds,mean_difference_left_minus_right,difference_ci95_low,difference_ci95_high,paired_t_p,status,p_holm,significant_after_holm_0.05
feature_set,hybrid,accuracy,4,6,10,-0.0015797078342220106,-0.0024538626332721736,-0.0007055530351718475,0.0027251672756478875,tested,0.40332475679588736,False
feature_set,hybrid,precision,4,6,10,-0.002708348479719991,-0.0029718962979343776,-0.002444800661505604,2.400006362460595e-09,tested,6.312016733271364e-07,True
feature_set,hybrid,recall,4,6,10,-0.00034225393191443797,-0.0019399810606697942,0.0012554731968409181,0.6395470220327604,tested,1.0,False
feature_set,hybrid,f1,4,6,10,-0.0015437060491536258,-0.0024179447200499875,-0.0006694673782572639,0.003136571769690341,tested,0.4610760501444801,False
feature_set,hybrid,roc_auc,4,6,10,-0.0006747805239249116,-0.0008663546098871007,-0.00048320643796272253,2.2855078276484172e-05,tested,0.004662435968402771,True
feature_set,hybrid,pr_auc_benign,4,6,10,-0.0005616721696804161,-0.0007624146255592458,-0.0003609297138015865,0.000136143882992529,tested,0.02613962553456557,True
feature_set,hybrid,pr_auc_ddos,4,6,10,-0.0007788614034567098,-0.0009460224770119093,-0.0006117003299015104,2.305513347738152e-06,tested,0.0004979908831114409,True
feature_set,hybrid,balanced_accuracy,4,6,10,-0.0015809963670138205,-0.0024537057224989466,-0.0007082870115286946,0.0026842641545204503,tested,0.39995535902354706,False
feature_set,hybrid,mcc,4,6,10,-0.0031230911046530863,-0.004895352857733666,-0.0013508293515725064,0.003175005024840815,tested,0.46355073362675897,False
feature_set,hybrid,accuracy,4,8,10,-0.0012353764847133019,-0.0020242728706937447,-0.0004464800987328592,0.006290021309900008,tested,0.7988327063573011,False
feature_set,hybrid,precision,4,8,10,-0.0025527145313200992,-0.00293893969137569,-0.0021664893712645085,1.1602866345858051e-07,tested,2.6106449278180614e-05,True
feature_set,hybrid,recall,4,8,10,0.00019057887542983654,-0.001688312789973721,0.002069470540833394,0.8236456836021965,tested,1.0,False
feature_set,hybrid,f1,4,8,10,-0.0012004665381209034,-0.0019965216826804133,-0.00040441139356139357,0.007732744269962209,tested,0.9743257780152382,False
feature_set,hybrid,roc_auc,4,8,10,-0.0006460902631353682,-0.0008207153287341559,-0.00047146519753658053,1.5401390013998724e-05,tested,0.0031572849528697386,True
feature_set,hybrid,pr_auc_benign,4,8,10,-0.0004888493602685174,-0.0006661723939012224,-0.00031152632663581227,0.00015208943777120684,tested,0.0288969931765293,True
feature_set,hybrid,pr_auc_ddos,4,8,10,-0.0008055023735209721,-0.0009514090277150132,-0.000659595719326931,5.476810907733696e-07,tested,0.0001188467966978212,True
feature_set,hybrid,balanced_accuracy,4,8,10,-0.0012361248416060677,-0.0020236574324406743,-0.00044859225077146104,0.006208871457696646,tested,0.7947355465851706,False
feature_set,hybrid,mcc,4,8,10,-0.00243239480758104,-0.0040462697702702295,-0.0008185198448918502,0.007756113614912357,tested,0.9743257780152382,False
feature_set,hybrid,accuracy,6,8,10,0.00034433134950870856,0.00018661349597528075,0.0005020492030421363,0.0008035999664856631,tested,0.13459766631359266,False
feature_set,hybrid,precision,6,8,10,0.0001556339483998914,-0.0003429349897960334,0.0006542028865958163,0.4979611177007136,tested,1.0,False
feature_set,hybrid,recall,6,8,10,0.0005328328073442746,0.0001788582930485814,0.0008868073216399678,0.0078088288707160525,tested,0.9743257780152382,False
