seed,left_feature_set,left_model,right_feature_set,right_model,matched_observations,left_error_right_correct,left_correct_right_error,discordant,mcnemar_exact_p,paired_error_difference_left_minus_right,error_difference_ci95_low,error_difference_ci95_high,status,mcnemar_p_holm,significant_after_holm_0.05
104729,6,hybrid,8,rf,43500,28,23,51,0.5758493477318467,0.00011494252873563218,-0.00020683406304811011,0.0004367191205193745,tested,1.0,False
104729,6,hybrid,8,xgboost,43500,14,35,49,0.003801654409748778,-0.0004827586206896552,-0.0007981319150296184,-0.000167385326349692,tested,0.7489259187205093,False
104729,6,mlp,6,rf,43500,113,52,165,2.3282140481738744e-06,0.0014022988505747126,0.0008236685468265417,0.0019809291543228837,tested,0.0007101052846930317,True
104729,6,mlp,6,xgboost,43500,104,43,147,5.195289743459133e-07,0.0014022988505747126,0.0008561587353823109,0.0019484389657671143,tested,0.000161573511021579,True
104729,6,mlp,8,hybrid,43500,100,52,152,0.00012227884454768203,0.001103448275862069,0.000548032871614158,0.00165886368010998,tested,0.031425663048754285,True
104729,6,mlp,8,mlp,43500,49,202,251,3.0277093028902716e-23,-0.003517241379310345,-0.004230328526749152,-0.0028041542318715373,tested,1.3261366746659389e-20,True
104729,6,mlp,8,rf,43500,121,51,172,9.632521788429946e-08,0.0016091954022988506,0.0010184589474326949,0.002199931857165006,tested,3.053509406932293e-05,True
104729,6,mlp,8,xgboost,43500,103,59,162,0.0006813642297109502,0.0010114942528735632,0.00043807846099497944,0.001584910044752147,tested,0.15262558745525284,False
104729,6,rf,6,xgboost,43500,33,33,66,1.0,0.0,-0.0003660528344955314,0.0003660528344955314,tested,1.0,False
104729,6,rf,8,hybrid,43500,8,21,29,0.0241195447742939,-0.00029885057471264366,-0.0005414790185035029,-5.622213092178451e-05,tested,1.0,False
104729,6,rf,8,mlp,43500,31,245,276,1.8528731358128746e-42,-0.004919540229885057,-0.0056666707395270225,-0.004172409720243092,tested,9.264365679064374e-40,True
104729,6,rf,8,rf,43500,12,3,15,0.03515625,0.00020689655172413793,3.23985419541898e-05,0.00038139456149408605,tested,1.0,False
