feature_set,model,metric,n_seeds,mean,sd,ci95_method,ci95_low_raw,ci95_high_raw,ci95_low,ci95_high,ci95_display_constrained_to_0_1,manuscript_value
4,hybrid,accuracy,10,0.9849866640020772,0.0005215429559965372,"two-sided mean t interval, df=n-1",0.9846135746467355,0.985359753357419,0.9846135746467355,0.985359753357419,False,0.9850 ± 0.0005 (95% CI 0.9846–0.9854)
4,hybrid,precision,10,0.9762652814097871,0.0006855935528925139,"two-sided mean t interval, df=n-1",0.9757748373270243,0.9767557254925499,0.9757748373270243,0.9767557254925499,False,0.9763 ± 0.0007 (95% CI 0.9758–0.9768)
4,hybrid,recall,10,0.9942058892181018,0.0014792474914004194,"two-sided mean t interval, df=n-1",0.9931476993094626,0.9952640791267411,0.9931476993094626,0.9952640791267411,False,0.9942 ± 0.0015 (95% CI 0.9931–0.9953)
4,hybrid,f1,10,0.9851530247806473,0.0005750768843640576,"two-sided mean t interval, df=n-1",0.9847416395599432,0.9855644100013513,0.9847416395599432,0.9855644100013513,False,0.9852 ± 0.0006 (95% CI 0.9847–0.9856)
4,hybrid,roc_auc,10,0.9984708712786619,0.0005127360138589807,"two-sided mean t interval, df=n-1",0.9981040820301988,0.9988376605271249,0.9981040820301988,0.9988376605271249,False,0.9985 ± 0.0005 (95% CI 0.9981–0.9988)
4,hybrid,pr_auc_benign,10,0.9984914583870805,0.0005418494207114214,"two-sided mean t interval, df=n-1",0.9981038426619688,0.9988790741121922,0.9981038426619688,0.9988790741121922,False,0.9985 ± 0.0005 (95% CI 0.9981–0.9989)
4,hybrid,pr_auc_ddos,10,0.9984046857957631,0.0003914362095657899,"two-sided mean t interval, df=n-1",0.9981246691999963,0.99868470239153,0.9981246691999963,0.99868470239153,False,0.9984 ± 0.0004 (95% CI 0.9981–0.9987)
4,hybrid,balanced_accuracy,10,0.9849617024544361,0.0004881338380210086,"two-sided mean t interval, df=n-1",0.9846125125423613,0.985310892366511,0.9846125125423613,0.985310892366511,False,0.9850 ± 0.0005 (95% CI 0.9846–0.9853)
4,hybrid,mcc,10,0.9701369071679157,0.0010707849495249892,"two-sided mean t interval, df=n-1",0.9693709137594446,0.9709029005763867,0.9693709137594446,0.9709029005763867,False,0.9701 ± 0.0011 (95% CI 0.9694–0.9709)
4,mlp,accuracy,10,0.9273496202215533,0.008354191506739527,"two-sided mean t interval, df=n-1",0.921373391633258,0.9333258488098486,0.921373391633258,0.9333258488098486,False,0.9273 ± 0.0084 (95% CI 0.9214–0.9333)
4,mlp,precision,10,0.9213757433457426,0.008438334154654586,"two-sided mean t interval, df=n-1",0.9153393227331731,0.927412163958312,0.9153393227331731,0.927412163958312,False,0.9214 ± 0.0084 (95% CI 0.9153–0.9274)
4,mlp,recall,10,0.9347876625950517,0.01244351963201336,"two-sided mean t interval, df=n-1",0.9258861048914895,0.943689220298614,0.9258861048914895,0.943689220298614,False,0.9348 ± 0.0124 (95% CI 0.9259–0.9437)
4,mlp,f1,10,0.9279961725808663,0.008532833757370612,"two-sided mean t interval, df=n-1",0.9218921510248808,0.9341001941368519,0.9218921510248808,0.9341001941368519,False,0.9280 ± 0.0085 (95% CI 0.9219–0.9341)
4,mlp,roc_auc,10,0.9752714155544762,0.01289135859070094,"two-sided mean t interval, df=n-1",0.9660494931590461,0.9844933379499062,0.9660494931590461,0.9844933379499062,False,0.9753 ± 0.0129 (95% CI 0.9660–0.9845)
4,mlp,pr_auc_benign,10,0.959046730880661,0.033682569192086516,"two-sided mean t interval, df=n-1",0.9349516723976717,0.9831417893636502,0.9349516723976717,0.9831417893636502,False,0.9590 ± 0.0337 (95% CI 0.9350–0.9831)
4,mlp,pr_auc_ddos,10,0.9807702170119115,0.006547172404757125,"two-sided mean t interval, df=n-1",0.9760866520174721,0.9854537820063508,0.9760866520174721,0.9854537820063508,False,0.9808 ± 0.0065 (95% CI 0.9761–0.9855)
4,mlp,balanced_accuracy,10,0.9273229951960736,0.008303909556017836,"two-sided mean t interval, df=n-1",0.9213827361484737,0.9332632542436736,0.9213827361484737,0.9332632542436736,False,0.9273 ± 0.0083 (95% CI 0.9214–0.9333)
